name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
Two Door Cinema Club,1,93136482,2434090,indie,electronic,british,mb,2010.0,13.0
Björk,1,177649704,2812575,electronic,alternative,experimental,f,1993.0,30.0
Travis Scott,0,251558729,1774598,hip hop,rap,trap,m,2015.0,8.0
Kesha,0,30257774,1251256,pop,dance,electropop,f,2010.0,13.0
Adele,1,218996902,4323326,soul,british,singer songwriter,f,2008.0,15.0
David Guetta,1,133808306,4111180,house,dance,electronic,m,2002.0,21.0
Selena Gomez,0,134282557,2140470,pop,disney,pop rock,f,2009.0,14.0
The Cardigans,0,50167071,2420595,pop,rock,swedish,mfb,1994.0,29.0
MGMT,0,145924274,3992905,electronic,indie,psychedelic,mb,2007.0,16.0
MF DOOM,0,92896594,1498736,hip hop,underground hip hop,rap,m,1999.0,24.0
Salvia Palth,0,20274005,797302,lo fi,shoegaze,dream pop,m,2013.0,10.0
The Neighbourhood,0,192662232,2523727,indie,indie rock,indie pop,mb,2013.0,10.0
Playboi Carti,1,324306113,1393306,trap,hip hop,rap,m,2018.0,5.0
R.E.M.,0,120396714,3591488,rock,alternative rock,alternative,mb,1983.0,40.0
The Cranberries,0,87158452,3249989,rock,alternative,alternative rock,mfb,1993.0,30.0
Bee Gees,0,43469162,2507647,disco,pop,70s,mb,1965.0,58.0
Bad Bunny,1,150471000,1200145,reggaeton,latin,trap,m,2018.0,5.0
Justin Bieber,0,160423989,3269010,pop,justin bieber,rnb,m,2010.0,13.0
Summer Walker,0,54240601,1061860,rnb,soul,neo soul,f,2019.0,4.0
Zayn,0,70675542,1493696,pop,rnb,british,m,2016.0,7.0
Limp Bizkit,1,101919719,2968509,nu metal,rapcore,rock,mb,1997.0,26.0
Demi Lovato,0,132358381,2399010,pop,pop rock,disney,f,2008.0,15.0
Imagine Dragons,0,171354670,3039667,indie,indie rock,alternative,mb,2012.0,11.0
OneRepublic,1,98820939,3441656,rock,pop rock,alternative,mb,2007.0,16.0
Pink Floyd,0,433787785,4231076,progressive rock,classic rock,psychedelic rock,mb,1967.0,56.0
Kenya Grace,1,4121529,398668,rnb,indie,soul,f,2019.0,4.0
Fiona Apple,0,97040879,2040975,singer songwriter,alternative,piano,f,1996.0,27.0
Cocteau Twins,0,82221493,1456897,dream pop,shoegaze,post punk,mfb,1982.0,41.0
Willow,0,44032369,1419401,post rock,pop,rnb,f,2015.0,8.0
Faye Webster,1,37829341,845679,indie,singer songwriter,indie folk,f,2013.0,10.0
Jay-Z,0,162170749,4636803,hip hop,rap,east coast rap,m,1996.0,27.0
Sam Smith,0,81441799,2295991,soul,pop,british,m,2014.0,9.0
NLE Choppa,1,26131794,761845,trap,hip hop,rap,m,2020.0,3.0
Mariah Carey,1,157261378,3701240,pop,rnb,soul,f,1990.0,33.0
Sabrina Carpenter,1,76431718,1131396,pop,indie pop,alternative,f,2015.0,8.0
Dave,1,38585931,745824,rap,grime,french,m,2019.0,4.0
Strawberry Guy,1,14185527,744041,dream pop,indie pop,shoegaze,m,2021.0,2.0
Trippie Redd,0,111464373,1179968,trap,hip hop,rap,m,2018.0,5.0
Bon Jovi,0,85590576,3204654,rock,hard rock,classic rock,mb,1984.0,39.0
A$AP Rocky,0,165019434,2200862,hip hop,rap,underground hip hop,m,2013.0,10.0
Ice Cube,1,39323531,2372511,rap,hip hop,gangsta rap,m,1990.0,33.0
Dominic Fike,1,54540915,1248699,indie,alternative,indie pop,m,2020.0,3.0
Yot Club,0,15318310,805973,lo fi,indie,dream pop,m,2022.0,1.0
Rex Orange County,0,78622279,1370633,indie pop,rnb,jazz,m,2017.0,6.0
Elliott Smith,0,171947844,2301560,singer songwriter,indie,folk,m,1994.0,29.0
Alice in Chains,0,125101609,2553702,grunge,rock,alternative rock,mb,1990.0,33.0
Avril Lavigne,0,173829617,3782540,pop,pop rock,rock,f,2002.0,21.0
Marina,0,93512019,1313743,pop,indie pop,post hardcore,f,2010.0,13.0
My Chemical Romance,0,264909324,3522394,rock,emo,alternative,mb,2002.0,21.0
P!nk,1,100513292,3429951,pop,pop rock,rock,f,2000.0,23.0
Eagles,0,54260159,2912166,classic rock,rock,70s,mb,1972.0,51.0
Radiohead,0,784481025,6279017,alternative,alternative rock,rock,mb,1993.0,30.0
Taylor Swift,1,1884917449,4359692,country,pop,singer songwriter,f,2006.0,17.0
The Beach Boys,0,111142747,3315595,classic rock,60s,pop,mb,1962.0,61.0
bôa,0,27246816,879589,alternative,alternative rock,rock,f,2000.0,23.0
ScHoolboy Q,0,47012401,1381867,hip hop,rap,underground hip hop,m,2011.0,12.0
Pixies,0,155552948,3363352,alternative,indie,rock,mfb,1988.0,35.0
Gracie Abrams,1,55383397,661737,pop,indie pop,indie,f,2023.0,0.0
Kate Bush,0,88610008,2338156,singer songwriter,pop,alternative,f,1978.0,45.0
Twenty One Pilots,0,165253361,2073100,electronic,alternative,indie,mb,2009.0,14.0
Cavetown,1,46179043,973470,indie,pop,bedroom pop,m,2015.0,8.0
Gunna,0,75871221,1008259,trap,rap,hip hop,m,2019.0,4.0
Matt Maltese,1,24582557,928130,pop,indie,singer songwriter,m,2018.0,5.0
Baby Keem,0,110897796,1203010,hip hop,rap,trap,m,2021.0,2.0
J. Cole,1,166653381,2888430,hip hop,rap,underground hip hop,m,2011.0,12.0
Grimes,0,135488559,1845056,electronic,dream pop,experimental,f,2010.0,13.0
Wallows,0,58322751,1247760,indie,indie rock,rock,mb,2019.0,4.0
Billy Joel,1,67248807,2808925,classic rock,singer songwriter,rock,m,1971.0,52.0
Rae Sremmurd,0,26993153,1220287,hip hop,rap,trap,mb,2015.0,8.0
Tate McRae,0,33790616,970246,pop,alberta,electronic,f,2022.0,1.0
